# x	y	u	v	flags	mask
3.4501e+00	8.2884e-01	-1.6033e-01	-2.6097e+00	0.0000e+00	0.0000e+00
3.7194e+00	8.2884e-01	-1.6404e-01	-2.5113e+00	0.0000e+00	0.0000e+00
3.9888e+00	8.2884e-01	-1.9132e-01	-2.5986e+00	0.0000e+00	0.0000e+00
4.2582e+00	8.2884e-01	-1.0491e-01	-2.5468e+00	0.0000e+00	0.0000e+00
4.5276e+00	8.2884e-01	-8.1052e-02	-2.4907e+00	0.0000e+00	0.0000e+00
4.7969e+00	8.2884e-01	-1.2834e-01	-2.5031e+00	0.0000e+00	0.0000e+00
5.0663e+00	8.2884e-01	-5.8776e-02	-2.5428e+00	0.0000e+00	0.0000e+00
2.1757e-01	5.5947e-01	9.1738e-01	-2.6642e+00	0.0000e+00	0.0000e+00
4.8695e-01	5.5947e-01	2.3965e-01	-2.6257e+00	1.0000e+00	0.0000e+00
7.5632e-01	5.5947e-01	5.4089e-01	-2.5351e+00	0.0000e+00	0.0000e+00
1.0257e+00	5.5947e-01	4.2464e-01	-2.5271e+00	0.0000e+00	0.0000e+00
1.2951e+00	5.5947e-01	-1.2935e-02	-2.5591e+00	0.0000e+00	0.0000e+00
1.5644e+00	5.5947e-01	7.8430e-02	-2.4542e+00	0.0000e+00	0.0000e+00
1.8338e+00	5.5947e-01	1.9863e-02	-2.4243e+00	0.0000e+00	0.0000e+00
2.1032e+00	5.5947e-01	1.7846e-01	-2.5016e+00	0.0000e+00	0.0000e+00
2.3726e+00	5.5947e-01	4.7692e-02	-2.3875e+00	0.0000e+00	0.0000e+00
2.6419e+00	5.5947e-01	-3.4291e-02	-2.5694e+00	0.0000e+00	0.0000e+00
2.9113e+00	5.5947e-01	7.2116e-02	-2.5977e+00	0.0000e+00	0.0000e+00
3.1807e+00	5.5947e-01	-1.6938e-01	-2.4539e+00	0.0000e+00	0.0000e+00
3.4501e+00	5.5947e-01	-1.9949e-01	-2.5104e+00	0.0000e+00	0.0000e+00
3.7194e+00	5.5947e-01	-2.5365e-01	-2.6752e+00	0.0000e+00	0.0000e+00
3.9888e+00	5.5947e-01	-2.5064e-01	-2.6154e+00	0.0000e+00	0.0000e+00
4.2582e+00	5.5947e-01	-1.8824e-01	-2.5372e+00	0.0000e+00	0.0000e+00
4.5276e+00	5.5947e-01	-6.8952e-02	-2.4454e+00	0.0000e+00	0.0000e+00
4.7969e+00	5.5947e-01	1.3843e-01	-2.4306e+00	0.0000e+00	0.0000e+00
5.0663e+00	5.5947e-01	1.2061e-01	-2.5126e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.9010e-01	4.1255e-01	-2.8541e+00	0.0000e+00	0.0000e+00
4.8695e-01	2.9010e-01	3.0390e-01	-2.6694e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.9010e-01	3.2938e-01	-2.4551e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.9010e-01	3.4684e-01	-2.7263e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.9010e-01	8.6100e-03	-2.5729e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.9010e-01	1.6477e-02	-2.5178e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.9010e-01	9.9632e-02	-2.2279e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.9010e-01	3.6272e-01	-2.4306e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.9010e-01	1.8889e-01	-2.4352e+00	0.0000e+00	0.0000e+00
2.6419e+00	2.9010e-01	-6.4070e-03	-2.4026e+00	0.0000e+00	0.0000e+00
2.9113e+00	2.9010e-01	-6.7229e-02	-2.5305e+00	0.0000e+00	0.0000e+00
3.1807e+00	2.9010e-01	-2.4919e-01	-2.4725e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.9010e-01	-1.6302e-01	-2.5148e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.9010e-01	-2.0231e-01	-2.6162e+00	0.0000e+00	0.0000e+00
3.9888e+00	2.9010e-01	-1.0449e-01	-2.7468e+00	0.0000e+00	0.0000e+00
4.2582e+00	2.9010e-01	-8.5578e-02	-2.5835e+00	1.0000e+00	0.0000e+00
4.5276e+00	2.9010e-01	-4.2503e-02	-2.6608e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.9010e-01	1.0405e-01	-2.6602e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.9010e-01	3.5071e-01	-2.7175e+00	0.0000e+00	0.0000e+00
